numero,pregunta,A,B,C,D,letra_correcta,texto_respuesta_correcta,bloque_bruto
12,La escucha activa es un proceso dinámico que exige,Que los celadores reaccionen rápidamente al mensaje recibido,Que los celadores no formulen preguntas sobre el mensaje recibido.,"Que los celadores presten atención a la totalidad del mensaje, tanto verbal como no verbal.",Que los celadores no presten atención al mensaje recibido. Respuesta Correcta: C,C,"Que los celadores presten atención a la totalidad del mensaje, tanto verbal como no verbal.","12. La escucha activa es un proceso dinámico que exige:
A) Que los celadores reaccionen rápidamente al mensaje recibido
B) Que los celadores no formulen preguntas sobre el mensaje recibido.
C) Que los celadores presten atención a la totalidad del mensaje, tanto verbal como no verbal.
D) Que los celadores no presten atención al mensaje recibido.
Respuesta Correcta: C"
13,"En un momento dado, en nuestro trabajo, nuestro superior jerárquico nos envía un comunicado, ¿de qué tipo de comunicación se trata?",Horizontal.,Ascendente.,Descendente. Página 3 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,Diagonal. Respuesta Correcta: C,C,Descendente. Página 3 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,"13. En un momento dado, en nuestro trabajo, nuestro superior jerárquico nos envía un comunicado, ¿de qué tipo de
comunicación se trata?
A) Horizontal.
B) Ascendente.
C) Descendente.
Página 3 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
D) Diagonal.
Respuesta Correcta: C"
14,Entre las habilidades de comunicación no está,Iniciar una conversación.,La discusión.,El tono alto de voz.,Presentarse a sí mismo. Respuesta Correcta: C,C,El tono alto de voz.,"14. Entre las habilidades de comunicación no está:
A) Iniciar una conversación.
B) La discusión.
C) El tono alto de voz.
D) Presentarse a sí mismo.
Respuesta Correcta: C"
15,"En toda comunicación existen una serie de elementos que son imprescindibles para que se produzca el proceso comunicativo, señale el elemento NO imprescindible",Emisor.,Receptor.,Asertivo.,Retroalimentación. Respuesta Correcta: C,C,Asertivo.,"15. En toda comunicación existen una serie de elementos que son imprescindibles para que se produzca el proceso
comunicativo, señale el elemento NO imprescindible:
A) Emisor.
B) Receptor.
C) Asertivo.
D) Retroalimentación.
Respuesta Correcta: C"
16,¿Cómo debe ofrecerse la información al usuario?,Escueta y resumida.,Por escrito siempre.,En términos comprensibles.,"Clara, sin divagaciones y sólo la debe dar el personal sanitario. Respuesta Correcta: C",C,En términos comprensibles.,"16. ¿Cómo debe ofrecerse la información al usuario?
A) Escueta y resumida.
B) Por escrito siempre.
C) En términos comprensibles.
D) Clara, sin divagaciones y sólo la debe dar el personal sanitario.
Respuesta Correcta: C"
17,Las formas de atención al público son,"Atención presencial, informática y personalizada.","Atención presencial, telefónica y telemática.","Atención presencial, telefónica, telemática y personalizada.",Ninguna de las respuestas anteriores es correcta. Página 4 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu             Respuesta Correcta: B,B,"Atención presencial, telefónica y telemática.","17. Las formas de atención al público son:
A) Atención presencial, informática y personalizada.
B) Atención presencial, telefónica y telemática.
C) Atención presencial, telefónica, telemática y personalizada.
D) Ninguna de las respuestas anteriores es correcta.
Página 4 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
Respuesta Correcta: B"
18,El/la celador/a destinado/a en el servicio de información habrá de tener perfecto conocimiento de,Las camas libres que en cada momento existan en el centro.,"La ubicación de todos los servicios del centro, así como los nombres de sus responsables.",La ubicación de todos los servicios del centro.,Los tipos de intervenciones quirúrgicas que se realizan en el centro. Respuesta Correcta: C,C,La ubicación de todos los servicios del centro.,"18. El/la celador/a destinado/a en el servicio de información habrá de tener perfecto conocimiento de:
A) Las camas libres que en cada momento existan en el centro.
B) La ubicación de todos los servicios del centro, así como los nombres de sus responsables.
C) La ubicación de todos los servicios del centro.
D) Los tipos de intervenciones quirúrgicas que se realizan en el centro.
Respuesta Correcta: C"
19,"En relación con la comunicación verbal a través de la expresión oral, ¿cuál de las siguientes afirmaciones es INCORRECTA?",Se debe tener en cuenta el objetivo de la comunicación.,Se debe tener en cuenta el interés que despierta el mensaje que vamos a comunicar.,Se debe tener en cuenta a quién va dirigida la comunicación y qué aptitud presenta el receptor.,No se debe tener en cuenta el tiempo del que disponemos. Respuesta Correcta: D,D,No se debe tener en cuenta el tiempo del que disponemos. Respuesta Correcta: D,"19. En relación con la comunicación verbal a través de la expresión oral, ¿cuál de las siguientes afirmaciones es
INCORRECTA?
A) Se debe tener en cuenta el objetivo de la comunicación.
B) Se debe tener en cuenta el interés que despierta el mensaje que vamos a comunicar.
C) Se debe tener en cuenta a quién va dirigida la comunicación y qué aptitud presenta el receptor.
D) No se debe tener en cuenta el tiempo del que disponemos.
Respuesta Correcta: D"
20,"Los rumores, chismes u opiniones surgidos en el seno de la organización pertenecen a la comunicación denominada como",Horizontal.,Indirecta.,Informal.,Genética. Respuesta Correcta: C,C,Informal.,"20. Los rumores, chismes u opiniones surgidos en el seno de la organización pertenecen a la comunicación
denominada como:
A) Horizontal.
B) Indirecta.
C) Informal.
D) Genética.
Respuesta Correcta: C"
21,¿Qué es la tarjeta sanitaria individual?,Es un documento administrativo que tiene como finalidad posibilitar a los ciudadanos el acceso a las prestaciones de la Seguridad Social que proporciona el Ministerio de Trabajo.,Es un documento administrativo que tiene como finalidad posibilitar a los ciudadanos el acceso a las prestaciones de Servicios Sociales.,Es un documento administrativo que tiene como finalidad posibilitar a los ciudadanos el acceso a las prestaciones de la atención sanitaria que proporciona el Sistema Nacional de Salud.,Es un documento administrativo que tiene como finalidad posibilitar a los ciudadanos el acceso a las prestaciones de la Seguridad Social que proporciona la Comunidad Autónoma. Página 5 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu             Respuesta Correcta: C,C,Es un documento administrativo que tiene como finalidad posibilitar a los ciudadanos el acceso a las prestaciones de la atención sanitaria que proporciona el Sistema Nacional de Salud.,"21. ¿Qué es la tarjeta sanitaria individual?
A) Es un documento administrativo que tiene como finalidad posibilitar a los ciudadanos el acceso a las
prestaciones de la Seguridad Social que proporciona el Ministerio de Trabajo.
B) Es un documento administrativo que tiene como finalidad posibilitar a los ciudadanos el acceso a las
prestaciones de Servicios Sociales.
C) Es un documento administrativo que tiene como finalidad posibilitar a los ciudadanos el acceso a las
prestaciones de la atención sanitaria que proporciona el Sistema Nacional de Salud.
D) Es un documento administrativo que tiene como finalidad posibilitar a los ciudadanos el acceso a las
prestaciones de la Seguridad Social que proporciona la Comunidad Autónoma.
Página 5 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
Respuesta Correcta: C"
22,"En la relación de atención y acogida al público, el factor más importante para el ciudadano en el que debe centrarse el profesional es",El cumplimiento.,La empatía.,La disposición.,Todas las respuestas anteriores son correctas. Respuesta Correcta: A,A,El cumplimiento.,"22. En la relación de atención y acogida al público, el factor más importante para el ciudadano en el que debe
centrarse el profesional es:
A) El cumplimiento.
B) La empatía.
C) La disposición.
D) Todas las respuestas anteriores son correctas.
Respuesta Correcta: A"
23,El traslado de un fallecido desde urgencias de un hospital hasta el mortuorio es una función de,Enfermero.,Personal celador.,Personal de la funeraria.,Auxiliar de enfermería. Respuesta Correcta: B,B,Personal celador.,"23. El traslado de un fallecido desde urgencias de un hospital hasta el mortuorio es una función de:
A) Enfermero.
B) Personal celador.
C) Personal de la funeraria.
D) Auxiliar de enfermería.
Respuesta Correcta: B"
24,"Hay que trasladar una mesa y dos sillas de una consulta a otra, en este caso los celadores",Harán el traslado lo antes posible.,Harán el traslado cuando crean oportuno.,Las respuestas A y B son falsas.,No lo harán porque no les corresponde. Respuesta Correcta: A,A,Harán el traslado lo antes posible.,"24. Hay que trasladar una mesa y dos sillas de una consulta a otra, en este caso los celadores:
A) Harán el traslado lo antes posible.
B) Harán el traslado cuando crean oportuno.
C) Las respuestas A y B son falsas.
D) No lo harán porque no les corresponde.
Respuesta Correcta: A"
25,"¿Tienen los celadores alguna función relacionada con la limpieza, conservación de edificios y material?","No, por ser funciones propias de mantenimiento.","Sólo en la limpieza, pero referida a aspectos relacionados con el aseo personal de los enfermos.",Únicamente durante la vigilancia nocturna.,Deben dar cuenta a sus inmediatos superiores de los desperfectos o anomalías que encontraren en la limpieza y conservación del edificio o material. Página 6 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu             Respuesta Correcta: D,D,Deben dar cuenta a sus inmediatos superiores de los desperfectos o anomalías que encontraren en la limpieza y conservación del edificio o material. Página 6 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu             Respuesta Correcta: D,"25. ¿Tienen los celadores alguna función relacionada con la limpieza, conservación de edificios y material?
A) No, por ser funciones propias de mantenimiento.
B) Sólo en la limpieza, pero referida a aspectos relacionados con el aseo personal de los enfermos.
C) Únicamente durante la vigilancia nocturna.
D) Deben dar cuenta a sus inmediatos superiores de los desperfectos o anomalías que encontraren en la
limpieza y conservación del edificio o material.
Página 6 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
Respuesta Correcta: D"
26,Las funciones que deben realizar los celadores en los centros sanitarios vienen recogidas en,El estatuto de autonomía de Canarias.,La ley general de sanidad.,El estatuto jurídico del personal no sanitario.,El estatuto jurídico del personal sanitario. Respuesta Correcta: C,C,El estatuto jurídico del personal no sanitario.,"26. Las funciones que deben realizar los celadores en los centros sanitarios vienen recogidas en:
A) El estatuto de autonomía de Canarias.
B) La ley general de sanidad.
C) El estatuto jurídico del personal no sanitario.
D) El estatuto jurídico del personal sanitario.
Respuesta Correcta: C"
27,"Según el estatuto jurídico del personal no sanitario al servicio de las instituciones sanitarias de la seguridad social, los celadores",Constatarán que el personal de oficio y subalterno cumple su horario de trabajo.,Se encargarán del esmaltado de muebles clínicos.,"Realizarán la vigilancia de exteriores, pero sólo durante el día.",Evitarán que los visitantes fumen en las habitaciones. Respuesta Correcta: D,D,Evitarán que los visitantes fumen en las habitaciones. Respuesta Correcta: D,"27. Según el estatuto jurídico del personal no sanitario al servicio de las instituciones sanitarias de la seguridad
social, los celadores:
A) Constatarán que el personal de oficio y subalterno cumple su horario de trabajo.
B) Se encargarán del esmaltado de muebles clínicos.
C) Realizarán la vigilancia de exteriores, pero sólo durante el día.
D) Evitarán que los visitantes fumen en las habitaciones.
Respuesta Correcta: D"
28,"En el estatuto de personal no sanitario al servicio de las instituciones sanitarias de la seguridad social, orden del ministerio de trabajo de 5 de julio de 1971, en qué artículo se detallan todas y cada una de las funciones del celador",Artículo 14.3.,Artículo 14.6.,Artículo 14.2.,Artículo 14.5. Respuesta Correcta: C,C,Artículo 14.2.,"28. En el estatuto de personal no sanitario al servicio de las instituciones sanitarias de la seguridad social, orden del
ministerio de trabajo de 5 de julio de 1971, en qué artículo se detallan todas y cada una de las funciones del
celador:
A) Artículo 14.3.
B) Artículo 14.6.
C) Artículo 14.2.
D) Artículo 14.5.
Respuesta Correcta: C"
29,¿Cuál de las siguientes NO es una función propia de los celadores?,Limpieza de la mesa de autopsias y de la propia sala.,Informar de la defunción a los familiares de los fallecidos.,Ayudar a amortajar a los enfermos fallecidos.,Traslado de cadáveres al mortuorio. Página 7 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu             Respuesta Correcta: B,B,Informar de la defunción a los familiares de los fallecidos.,"29. ¿Cuál de las siguientes NO es una función propia de los celadores?
A) Limpieza de la mesa de autopsias y de la propia sala.
B) Informar de la defunción a los familiares de los fallecidos.
C) Ayudar a amortajar a los enfermos fallecidos.
D) Traslado de cadáveres al mortuorio.
Página 7 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
Respuesta Correcta: B"
30,El servicio área de labores de guardia y vigilancia de ascensorista corresponde al celador,Siempre.,Servirán de ascensoristas cuando se les asigne especialmente ese cometido o las necesidades del servicio lo requieran.,Lo hace voluntariamente si se encuentra en el lugar.,Nunca. Respuesta Correcta: B,B,Servirán de ascensoristas cuando se les asigne especialmente ese cometido o las necesidades del servicio lo requieran.,"30. El servicio área de labores de guardia y vigilancia de ascensorista corresponde al celador:
A) Siempre.
B) Servirán de ascensoristas cuando se les asigne especialmente ese cometido o las necesidades del servicio
lo requieran.
C) Lo hace voluntariamente si se encuentra en el lugar.
D) Nunca.
Respuesta Correcta: B"
31,"En una institución sanitaria, ¿quién tiene el deber de informar a los familiares de los fallecidos sobre los trámites para el enterramiento?",Jefe de personal subalterno o en su ausencia encargado de turno (,Personal de enfermería.,El médico.,Los celadores. Respuesta Correcta: A,A,Jefe de personal subalterno o en su ausencia encargado de turno (,"31. En una institución sanitaria, ¿quién tiene el deber de informar a los familiares de los fallecidos sobre los trámites
para el enterramiento?
A) Jefe de personal subalterno o en su ausencia encargado de turno ( 
B) Personal de enfermería.
C) El médico.
D) Los celadores.
Respuesta Correcta: A"
32,¿Quién delegará sus funciones en el jefe de personal subalterno?,El director de la institución.,El jefe de subalternos.,El director de gestión y servicios generales.,El jefe de personal de oficio. Respuesta Correcta: C,C,El director de gestión y servicios generales.,"32. ¿Quién delegará sus funciones en el jefe de personal subalterno?
A) El director de la institución.
B) El jefe de subalternos.
C) El director de gestión y servicios generales.
D) El jefe de personal de oficio.
Respuesta Correcta: C"
33,El jefe de personal subalterno ejercerá el debido y discreto control de paquetes y bultos que porten,Los celadores.,Los enfermeros.,Las personas ajenas a la institución.,El personal de oficio. Respuesta Correcta: C Página 8 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu,C,Las personas ajenas a la institución.,"33. El jefe de personal subalterno ejercerá el debido y discreto control de paquetes y bultos que porten:
A) Los celadores.
B) Los enfermeros.
C) Las personas ajenas a la institución.
D) El personal de oficio.
Respuesta Correcta: C
Página 8 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu"
34,"Cuando el familiar de un enfermo demande información sobre el tratamiento que se le está realizando, el celador",Orientará la consulta hacia el médico encargado de la asistencia al enfermo.,Orientará la consulta hacia la enfermera encargada de la asistencia al enfermo.,Orientará la consulta hacia su inmediato superior.,"Le dará, amablemente, la información sobre el tratamiento y pronóstico que él conozca. Respuesta Correcta: A",A,Orientará la consulta hacia el médico encargado de la asistencia al enfermo.,"34. Cuando el familiar de un enfermo demande información sobre el tratamiento que se le está realizando, el celador:
A) Orientará la consulta hacia el médico encargado de la asistencia al enfermo.
B) Orientará la consulta hacia la enfermera encargada de la asistencia al enfermo.
C) Orientará la consulta hacia su inmediato superior.
D) Le dará, amablemente, la información sobre el tratamiento y pronóstico que él conozca.
Respuesta Correcta: A"
35,"Es función del celador el traslado de las comunicaciones verbales y la documentación, se realizará con la mayor brevedad posible",Siempre.,Dependiendo del destinatario.,"Las comunicaciones verbales se trasladarán a la mayor brevedad posible, la documentación puede esperar.",Nunca. Respuesta Correcta: A,A,Siempre.,"35. Es función del celador el traslado de las comunicaciones verbales y la documentación, se realizará con la mayor
brevedad posible:
A) Siempre.
B) Dependiendo del destinatario.
C) Las comunicaciones verbales se trasladarán a la mayor brevedad posible, la documentación puede esperar.
D) Nunca.
Respuesta Correcta: A"
36,Cuál de estas funciones no es del celador del equipo de atención primaria,Participar en las reuniones de equipo.,Rotulación y manipulación de muestras biológicas.,Vigilancia de acceso y circulación de los usuarios.,Vigilancia del buen uso del mobiliario del centro. Respuesta Correcta: B,B,Rotulación y manipulación de muestras biológicas.,"36. Cuál de estas funciones no es del celador del equipo de atención primaria:
A) Participar en las reuniones de equipo.
B) Rotulación y manipulación de muestras biológicas.
C) Vigilancia de acceso y circulación de los usuarios.
D) Vigilancia del buen uso del mobiliario del centro.
Respuesta Correcta: B"
37,¿Puede ser función de cualquier celador el manejo de una fotocopiadora?,"No, ya que es función del personal de mantenimiento.",Sólo es función del personal administrativo.,Sí.,Sólo lo hacen celadores especializados. Respuesta Correcta: C,C,Sí.,"37. ¿Puede ser función de cualquier celador el manejo de una fotocopiadora?
A) No, ya que es función del personal de mantenimiento.
B) Sólo es función del personal administrativo.
C) Sí.
D) Sólo lo hacen celadores especializados.
Respuesta Correcta: C"
38,"El primer contacto del enfermo o usuario, con el hospital, se produce fundamentalmente con: Página 9 de 74 En la dirección    documento electrónico siguiente:  0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu",El celador.,El médico de puerta.,El auxiliar de enfermería.,Todas las respuestas son correctas. Respuesta Correcta: A,A,El celador.,"38. El primer contacto del enfermo o usuario, con el hospital, se produce fundamentalmente con:
Página 9 de 74
En la dirección 
 
documento electrónico siguiente:
 0vxb_LMlrpvb5ZBEfQ_DD0rEeBczzMNvu
 
 
 
 
 
 
A) El celador.
B) El médico de puerta.
C) El auxiliar de enfermería.
D) Todas las respuestas son correctas.
Respuesta Correcta: A"
39,"Será misión del celador, según el estatuto de personal no sanitario","Todas aquellas funciones que le sean encomendadas por su superior, similares a las recogidas en el estatuto y que no hayan quedado específicamente reseñadas.",Sólo aquellas funciones que le sean ordenadas por sus superiores por escrito y que sean similares a las recogidas específicamente en el estatuto.,Todas aquellas funciones que le ordene su superior.,Sólo las establecidas en el estatuto. Respuesta Correcta: A,A,"Todas aquellas funciones que le sean encomendadas por su superior, similares a las recogidas en el estatuto y que no hayan quedado específicamente reseñadas.","39. Será misión del celador, según el estatuto de personal no sanitario:
A) Todas aquellas funciones que le sean encomendadas por su superior, similares a las recogidas en el
estatuto y que no hayan quedado específicamente reseñadas.
B) Sólo aquellas funciones que le sean ordenadas por sus superiores por escrito y que sean similares a las
recogidas específicamente en el estatuto.
C) Todas aquellas funciones que le ordene su superior.
D) Sólo las establecidas en el estatuto.
Respuesta Correcta: A"
40,Si un celador observase alguna anomalía o desperfecto en la limpieza del edificio o material,Procederá a reparar el desperfecto o anomalía con la mayor brevedad.,Dará cuenta con la mayor brevedad al servicio de mantenimiento.,Dará cuenta a sus inmediatos superiores.,Dará cuenta con la mayor brevedad a su inmediato superior y procederán a reparar el desperfecto o anomalía. Respuesta Correcta: D,D,Dará cuenta con la mayor brevedad a su inmediato superior y procederán a reparar el desperfecto o anomalía. Respuesta Correcta: D,"40. Si un celador observase alguna anomalía o desperfecto en la limpieza del edificio o material:
A) Procederá a reparar el desperfecto o anomalía con la mayor brevedad.
B) Dará cuenta con la mayor brevedad al servicio de mantenimiento.
C) Dará cuenta a sus inmediatos superiores.
D) Dará cuenta con la mayor brevedad a su inmediato superior y procederán a reparar el desperfecto o
anomalía.
Respuesta Correcta: D"
41,Las funciones a realizar por el celador,Están recogidas en el estatuto de personal sanitario al servicio de las instituciones sanitarias.,"Serán aprobadas para cada centro de trabajo por la junta de personal, teniendo en cuenta las necesidades de cada centro sanitario.",Están recogidas en el estatuto de personal no sanitario al servicio de las instituciones sanitarias de la seguridad social (BOE nº 174 de 22 de julio de 1971).,Las funciones recogidas en el estatuto de personal sanitario. Respuesta Correcta: C,C,Están recogidas en el estatuto de personal no sanitario al servicio de las instituciones sanitarias de la seguridad social (BOE nº 174 de 22 de julio de 1971).,"41. Las funciones a realizar por el celador:
A) Están recogidas en el estatuto de personal sanitario al servicio de las instituciones sanitarias.
B) Serán aprobadas para cada centro de trabajo por la junta de personal, teniendo en cuenta las necesidades
de cada centro sanitario.
C) Están recogidas en el estatuto de personal no sanitario al servicio de las instituciones sanitarias de la
seguridad social (BOE nº 174 de 22 de julio de 1971).
D) Las funciones recogidas en el estatuto de personal sanitario.
Respuesta Correcta: C"
